source;target;weight
550010;550020;17
550010;550030;36
550010;550230;1
550010;550790;2
550010;551520;1
550010;551710;1
550010;552430;8
550010;552670;1
550010;553020;2
550010;553090;1
550010;553260;1
550010;553280;4
550010;553450;1
550010;554190;1
550010;554570;1
550010;554730;8
550010;554820;1
550010;554980;1
550010;555230;3
550010;555270;8
550010;555310;1
550010;555890;1
550010;556010;19
550010;556220;1
550010;556770;6
550010;557110;2
550010;557460;1
550020;550010;43
550020;550330;1
550020;550840;1
550020;551070;1
550020;551870;2
550020;553170;3
550020;554730;93
550020;555310;1
550020;556010;1
550020;556220;1
550020;557150;1
550020;557220;1
550020;557460;2
550030;550010;30
550030;550020;1
550030;550430;4
550030;550450;1
550030;550670;1
550030;550860;1
550030;550930;1
550030;550980;1
550030;551080;3
550030;551270;1
550030;551360;2
550030;551590;1
550030;551710;1
550030;552170;1
550030;552910;1
550030;552950;1
550030;553090;1
550030;553140;1
550030;553280;1
550030;553610;2
550030;553680;4
550030;554080;1
550030;554150;2
550030;554430;6
550030;554570;6
550030;554610;1
550030;554730;2
550030;554820;4
550030;555250;1
550030;555300;2
550030;556180;1
550030;556290;2
550030;556400;4
550030;556770;16
550030;556960;1
550030;557030;1
550030;557110;5
550030;557160;1
550030;557290;1
550030;557350;2
550030;557470;1
550030;557600;2
550040;550410;4
550040;551720;3
550040;551780;3
550040;553040;2
550040;554630;1
550040;554940;1
550040;555390;1
550040;555690;1
550040;555900;1
550040;556100;1
550040;556570;1
550050;550120;3
550050;550350;1
550050;550430;1
550050;550670;5
550050;550730;35
550050;553050;2
550050;554050;1
550050;554720;1
550050;554770;1
550050;555060;1
550050;556490;1
550050;556550;1
550050;556690;2
550050;557030;5
550060;550160;2
550060;551050;1
550060;551900;5
550060;552040;4
550060;552430;1
550060;552550;2
550060;552990;3
550060;553040;9
550060;553120;5
550060;553180;2
550060;553500;2
550060;554250;5
550060;554300;2
550060;554450;20
550060;554800;2
550060;554990;6
550060;555150;8
550060;555230;4
550060;555490;1
550060;555890;2
550060;556540;1
550070;551160;1
550070;552350;4
550070;552370;1
550070;552580;1
550070;553740;1
550070;553840;4
550070;555460;1
550070;555520;2
550070;555730;1
550070;555740;1
550070;555970;1
550070;556130;8
550070;556560;1
550070;556760;2
550070;556940;2
550080;550160;32
550080;550230;5
550080;550420;1
550080;550550;2
550080;550560;4
550080;550830;5
550080;551520;3
550080;551650;1
550080;551680;2
550080;551810;1
550080;552130;1
550080;552360;2
550080;552940;1
550080;553570;6
550080;553610;2
550080;553740;1
550080;553810;1
550080;554200;4
550080;554510;1
550080;554570;2
550080;554870;1
550080;554990;1
550080;555060;1
550080;556270;30
550080;556280;2
550080;556470;1
550080;556520;1
550080;556550;2
550080;557130;6
550080;557200;1
550080;557520;1
550090;550310;1
550090;550570;1
550090;550580;1
550090;551300;2
550090;552600;1
550090;552690;91
550090;553120;1
550090;553400;1
550090;553960;7
550090;554290;1
550090;554490;2
550090;554870;3
550090;555210;1
550090;555990;1
550100;550570;2
550100;550740;1
550100;550760;1
550100;551200;1
550100;551590;2
550100;552080;10
550100;552110;2
550100;552290;2
550100;552360;1
550100;552370;1
550100;552630;3
550100;552660;1
550100;552970;8
550100;553330;1
550100;553350;1
550100;553490;1
550100;553520;1
550100;554080;2
550100;554460;1
550100;554970;2
550100;555110;1
550100;556000;7
550100;556410;2
550100;556720;1
550100;556980;1
550100;557090;1
550100;557330;33
550110;550390;4
550110;550980;1
550110;552280;1
550110;552320;1
550110;552950;2
550110;553130;1
550110;553140;1
550110;553500;3
550110;553780;5
550110;553910;2
550110;553980;1
550110;554190;25
550110;554330;1
550110;554520;5
550110;554540;2
550110;554710;5
550110;554790;1
550110;554990;1
550110;555070;1
550110;555140;1
550110;555350;1
550110;555450;1
550110;555500;1
550110;555530;1
550110;556520;2
550110;556550;4
550110;556720;13
550110;556770;3
550110;557010;1
550110;557410;1
550110;557430;3
550110;561440;1
550120;550050;6
550120;550550;1
550120;550730;3
550120;550880;1
550120;553040;3
550120;553480;1
550120;553640;1
550120;554070;1
550120;555050;1
550120;555060;4
550120;555810;1
550120;556520;1
550120;556530;2
550120;556540;1
550120;556550;2
550120;556740;1
550120;557430;6
550120;557450;1
550120;557490;1
550120;557590;3
550130;551050;1
550130;551120;2
550130;551500;3
550130;551550;1
550130;551810;1
550130;552290;3
550130;552740;3
550130;552950;1
550130;553070;4
550130;553090;3
550130;553150;1
550130;553220;1
550130;553380;3
550130;553500;1
550130;553530;4
550130;553730;1
550130;554080;2
550130;554270;1
550130;554380;7
550130;554470;10
550130;554750;2
550130;554780;9
550130;555010;1
550130;555120;1
550130;555200;1
550130;555360;2
550130;555490;1
550130;555500;1
550130;555570;1
550130;555820;1
550130;556250;6
550130;556540;1
550130;556680;1
550130;556770;7
550130;556930;1
550130;557270;1
550130;557300;1
550130;557480;1
550140;550170;1
550140;550200;10
550140;550210;4
550140;550230;1
550140;550670;2
550140;551590;1
550140;552600;1
550140;552950;2
550140;553310;1
550140;553340;1
550140;553480;4
550140;554750;2
550140;555060;1
550140;555170;1
550140;555330;2
550140;555700;1
550140;556550;7
550140;556670;2
550140;556810;1
550140;556950;1
550140;557400;2
550150;550120;4
550150;551200;1
550150;551250;1
550150;552020;1
550150;552850;1
550150;552950;1
550150;553230;1
550150;553360;1
550150;553570;1
550150;554000;1
550150;554840;10
550150;554940;1
550150;555230;2
550150;555870;2
550150;556590;1
550160;550080;15
550160;550210;9
550160;550230;1
550160;550310;1
550160;551120;2
550160;551170;1
550160;551270;1
550160;551520;3
550160;551570;5
550160;552350;1
550160;552740;1
550160;553120;1
550160;553180;6
550160;553190;1
550160;553370;1
550160;553570;2
550160;554050;1
550160;554070;1
550160;554290;6
550160;554300;1
550160;554370;2
550160;554380;1
550160;554940;4
550160;554990;2
550160;555190;1
550160;555210;1
550160;555220;20
550160;555330;1
550160;555350;1
550160;555660;1
550160;556100;3
550160;556120;1
550160;556410;2
550160;556550;1
550160;556560;1
550160;556590;1
550160;556710;2
550160;556770;33
550160;557020;1
550160;557080;5
550160;557110;5
550160;557160;1
550170;551640;1
550170;553680;3
550170;553800;1
550170;555030;1
550170;555060;1
550170;557430;14
